City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,amahai,-3.3333,128.9167,79.25,85,100,5.1,ID,1715804863
158,kirakira,-10.4544,161.9205,80.42,86,99,10.33,SB,1715804863
159,vorkuta,67.5,64.0,23.11,97,100,5.99,RU,1715804863
160,dubrovnik,42.6481,18.0922,64.04,59,0,10.36,HR,1715804863
161,yerofey pavlovich,53.9667,121.9667,48.85,48,100,1.25,RU,1715804863
162,sechura,-5.5569,-80.8222,77.86,61,100,13.38,PE,1715804863
163,howard springs,-12.497,131.047,76.91,86,34,5.21,AU,1715804863
164,imbituba,-28.24,-48.6703,57.34,58,70,2.08,BR,1715804863
165,port lincoln,-34.7333,135.8667,58.48,88,100,6.8,AU,1715804842
166,barcelos,41.5388,-8.6151,57.85,83,6,5.97,PT,1715804701
167,fale old settlement,-9.3852,-171.2468,84.04,79,54,14.25,TK,1715804863
168,kimbe,-5.5502,150.1429,76.05,95,100,3.42,PG,1715804863
169,paka,4.6374,103.4368,78.73,94,95,2.3,MY,1715804863
170,puerto aysen,-45.4,-72.7,52.79,92,5,0.16,CL,1715804864
171,coruripe,-10.1256,-36.1756,79.14,80,5,8.21,BR,1715804797
172,ribeira grande,38.5167,-28.7,64.8,68,40,14.97,PT,1715804864
173,luang namtha,20.9497,101.4011,70.32,98,0,0.87,LA,1715804864
174,kill devil hills,36.0307,-75.676,78.8,71,40,10.36,US,1715804660
175,kapuskasing,49.4169,-82.4331,57.29,47,40,8.05,CA,1715804864
176,eydhafushi,5.1033,73.0708,85.96,75,100,13.51,MV,1715804864
177,benalla,-36.55,145.9833,44.01,71,97,4.23,AU,1715804864
178,itarantim,-15.6597,-40.0656,79.18,59,0,2.86,BR,1715804864
179,lompoc,34.6391,-120.4579,70.79,69,20,10.36,US,1715804864
180,santana,-0.0583,-51.1817,87.98,66,20,10.36,BR,1715804854
181,baruun-urt,46.6806,113.2792,56.84,10,100,9.33,MN,1715804864
182,kijang,35.2442,129.2139,49.73,84,74,20.69,KR,1715804865
183,opuwo,-18.0607,13.84,68.49,28,0,8.99,NA,1715804865
184,bardsir,29.9227,56.5743,64.06,48,91,0.69,IR,1715804865
185,qamdo,31.1667,97.2333,44.08,70,93,1.5,CN,1715804865
186,taoudenni,22.6783,-3.9836,86.65,40,100,20.22,ML,1715804865
187,harper,4.375,-7.7169,79.75,88,94,8.55,LR,1715804865
188,chibougamau,49.9168,-74.3659,51.42,54,75,10.36,CA,1715804865
189,bubaque,11.2833,-15.8333,78.94,77,100,18.43,GW,1715804865
190,westport,41.1415,-73.3579,64.65,90,100,14.97,US,1715804865
191,iskateley,67.6803,53.1512,33.03,100,100,11.01,RU,1715804865
192,hasaki,35.7333,140.8333,59.4,97,100,11.39,JP,1715804665
193,mukalla,14.5425,49.1242,82.9,79,34,8.9,YE,1715804865
194,salalah,17.0151,54.0924,84.29,74,75,10.36,OM,1715804865
195,martapura,-3.4167,114.85,76.87,91,100,1.43,ID,1715804866
196,flying fish cove,-10.4217,105.6791,78.48,88,40,13.8,CX,1715804866
197,tabira,-7.5908,-37.5394,82.74,49,100,4.25,BR,1715804866
198,lazaro cardenas,17.9583,-102.2,84.04,61,7,10.09,MX,1715804866
199,vadso,70.0744,29.7487,40.08,81,75,23.02,NO,1715804866
200,mount isa,-20.7333,139.5,60.57,67,0,5.75,AU,1715804866
201,homer,59.6425,-151.5483,51.76,71,0,14.97,US,1715804866
